dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET
ACSF1,0.896,0.916,0.898,0.94,0.898,0.91,0.886,0.92
Adiac,0.844501278772378,0.833248081841432,0.821994884910486,0.846547314578005,0.810230179028133,0.833759590792839,0.78337596,0.833759590792839
AllGestureWiimoteX,0.71,0.740571428571429,0.772857142857143,0.787142857142857,0.742285714285714,0.765714285714286,0.79,0.727142857142857
AllGestureWiimoteY,0.782,0.793714285714285,0.808857142857143,0.822857142857143,0.771714285714286,0.788571428571429,0.77271429,0.772857142857143
AllGestureWiimoteZ,0.687142857142857,0.725714285714286,0.776285714285714,0.792857142857143,0.731714285714286,0.752857142857143,0.76614286,0.752857142857143
ArrowHead,0.84,0.837714285714286,0.845714285714286,0.851428571428571,0.821714285714286,0.84,0.81428571,0.868571428571428
BME,0.844,0.998666666666666,0.994666666666667,0.993333333333333,0.98,0.993333333333333,1,1
Beef,0.66,0.753333333333333,0.706666666666667,0.7,0.72,0.766666666666667,0.83333333,0.766666666666667
BeetleFly,0.9,0.85,0.83,0.85,0.87,0.9,0.9,0.85
BirdChicken,0.93,0.88,0.95,0.95,0.89,0.9,0.9,0.9
CBF,0.993777777777778,0.995777777777778,0.998888888888889,0.998888888888889,0.997555555555556,0.998888888888889,1,0.996666666666667
Car,0.906666666666667,0.916666666666667,0.903333333333333,0.916666666666667,0.923333333333333,0.933333333333333,0.84666667,0.916666666666667
Chinatown,0.979591836734694,0.978425655976676,0.979591836734694,0.982507288629738,0.980174927113703,0.982507288629738,0.98250729,0.979591836734694
ChlorineConcentration,0.804010416666667,0.852760416666667,0.8690625,0.873177083333333,0.84265625,0.8484375,0.81453125,0.784114583333333
CinCECGTorso,0.822898550724637,0.837826086956521,0.725652173913043,0.85,0.782463768115942,0.873188405797101,0.83615942,0.951449275362319
Coffee,1,1,1,1,1,1,1,1
Computers,0.8176,0.8056,0.7856,0.792,0.7952,0.812,0.7612,0.784
CricketX,0.791794871794872,0.798974358974359,0.838461538461539,0.851282051282051,0.808717948717949,0.830769230769231,0.81948718,0.807692307692308
CricketY,0.782051282051282,0.810256410256411,0.842051282051282,0.858974358974359,0.832820512820513,0.876923076923077,0.85230769,0.843589743589744
CricketZ,0.80051282051282,0.808717948717949,0.847692307692308,0.853846153846154,0.843589743589744,0.861538461538462,0.85589744,0.835897435897436
Crop,0.739535714285714,0.742928571428571,0.752404761904762,0.770119047619048,0.715226190476191,0.757321428571429,0.75134524,0.774761904761905
DiatomSizeReduction,0.358823529411765,0.300653594771242,0.941830065359477,0.944444444444444,0.952941176470588,0.96078431372549,0.96993464,0.96078431372549
DistalPhalanxOutlineAgeGroup,0.712230215827338,0.717985611510791,0.736690647482014,0.741007194244604,0.723741007194244,0.712230215827338,0.75899281,0.76978417266187
DistalPhalanxOutlineCorrect,0.760144927536232,0.770289855072464,0.779710144927536,0.793478260869565,0.752173913043478,0.760869565217391,0.76956522,0.800724637681159
DistalPhalanxTW,0.693525179856115,0.663309352517985,0.660431654676259,0.676258992805755,0.683453237410072,0.712230215827338,0.71870504,0.690647482014388
DodgerLoopDay,0.3975,0.15,0.545,0.5875,0.54,0.575,0.5725,0.6
DodgerLoopGame,0.765217391304348,0.710144927536232,0.846376811594203,0.86231884057971,0.802898550724638,0.818840579710145,0.87318841,0.833333333333333
DodgerLoopWeekend,0.911594202898551,0.952173913043478,0.968115942028986,0.971014492753623,0.968115942028986,0.971014492753623,0.97463768,0.978260869565217
ECG200,0.88,0.874,0.926,0.93,0.896,0.92,0.906,0.92
ECG5000,0.940533333333333,0.935066666666667,0.937911111111111,0.94,0.940088888888889,0.942666666666667,0.94715556,0.946444444444444
ECGFiveDays,0.98815331010453,0.966318234610917,0.998606271777004,1,0.997677119628339,0.997677119628339,1,1
EOGHorizontalSignal,0.573480662983425,0.599447513812154,0.585082872928177,0.591160220994475,0.599447513812155,0.635359116022099,0.63895028,0.657458563535912
EOGVerticalSignal,0.45414364640884,0.445303867403315,0.465193370165746,0.455801104972376,0.390055248618784,0.411602209944751,0.54143646,0.535911602209945
Earthquakes,0.717985611510791,0.712230215827338,0.729496402877698,0.748201438848921,0.710791366906475,0.733812949640288,0.74820144,0.748201438848921
ElectricDevices,0.707456879782129,0.727869277655298,0.706082220204902,0.720918168849695,0.678926209311373,0.70250291790948,0.72941253,0.735442873816626
EthanolLevel,0.6796,0.7584,0.812,0.822,0.6988,0.74,0.5828,0.638
FaceAll,0.93810650887574,0.866745562130177,0.790769230769231,0.792899408284024,0.791360946745562,0.792899408284024,0.94650888,0.799408284023669
FaceFour,0.927272727272727,0.954545454545455,0.961363636363636,0.965909090909091,0.952272727272727,0.954545454545455,0.97727273,0.931818181818182
FacesUCR,0.944292682926829,0.954243902439024,0.966146341463414,0.969756097560976,0.954536585365854,0.961951219512195,0.96141463,0.961463414634146
FiftyWords,0.651428571428571,0.74021978021978,0.82021978021978,0.837362637362637,0.767472527472527,0.806593406593407,0.83032967,0.859340659340659
Fish,0.961142857142857,0.980571428571428,0.977142857142857,0.971428571428571,0.980571428571428,0.977142857142857,0.97942857,0.988571428571428
FordA,0.916515151515151,0.936969696969697,0.955757575757576,0.961363636363636,0.953636363636364,0.958333333333333,0.94439394,0.957575757575757
