dataset,LITETime-1,LITETime-2,LITETime-3,LITETime-4,LITETime-5,LITETime-6,LITETime-7,LITETime-8,LITETime-9,LITETime-10
ACSF1,0.892,0.904888888888889,0.907666666666667,0.908714285714286,0.908690476190476,0.908,0.907333333333333,0.906888888888889,0.908,0.91
Adiac,0.823017902813299,0.834441602728048,0.837063086104007,0.837766410912191,0.837352332237243,0.836682499086591,0.835954816709292,0.834953111679454,0.834526854219949,0.836317135549872
ArrowHead,0.828571428571429,0.826285714285714,0.830190476190476,0.830503401360544,0.833061224489796,0.833251700680272,0.835238095238095,0.83631746031746,0.836571428571429,0.84
BME,0.976,0.980296296296296,0.983,0.983301587301587,0.98441798941799,0.984730158730159,0.985055555555556,0.985333333333333,0.986,0.986666666666667
Beef,0.746666666666667,0.744444444444444,0.747222222222222,0.748095238095238,0.749206349206349,0.749365079365079,0.749444444444444,0.751111111111111,0.753333333333333,0.766666666666667
BeetleFly,0.84,0.848888888888889,0.852916666666667,0.86,0.864285714285714,0.872380952380953,0.878333333333333,0.885555555555555,0.89,0.9
BirdChicken,0.89,0.894444444444444,0.894166666666667,0.896428571428572,0.898611111111111,0.9,0.9,0.9,0.9,0.9
CBF,0.998222222222222,0.998592592592593,0.998712962962963,0.998767195767196,0.998840388007054,0.998883597883598,0.998888888888889,0.998888888888889,0.998888888888889,0.998888888888889
Car,0.931666666666666,0.938148148148148,0.938472222222222,0.938095238095238,0.937632275132275,0.936111111111111,0.935138888888889,0.934074074074074,0.933333333333333,0.933333333333333
Chinatown,0.980758017492711,0.98153547133139,0.981632653061224,0.981591003748438,0.981454486556527,0.981507705122865,0.981559766763848,0.98166504697117,0.981632653061224,0.982507288629738
ChlorineConcentration,0.845078125,0.850266203703704,0.851358506944444,0.852201140873016,0.852582465277778,0.852805059523809,0.853005642361111,0.853090277777778,0.853098958333333,0.853385416666667
CinCECGTorso,0.810507246376811,0.847971014492754,0.873623188405797,0.876066252587992,0.877188290775247,0.877850241545893,0.878043478260869,0.878421900161031,0.878478260869565,0.878985507246377
Coffee,1,1,1,1,1,1,1,1,1,1
Computers,0.8044,0.808088888888889,0.811866666666667,0.811961904761905,0.814809523809524,0.816438095238095,0.818733333333333,0.821333333333333,0.8236,0.828
CricketX,0.815641025641026,0.828945868945869,0.833803418803419,0.837240537240537,0.839183964183964,0.840659340659341,0.841645299145299,0.841652421652422,0.840769230769231,0.841025641025641
CricketY,0.82,0.833789173789174,0.84,0.842539682539683,0.844444444444444,0.844493284493285,0.846153846153846,0.846267806267806,0.846153846153846,0.848717948717949
CricketZ,0.838974358974359,0.856296296296296,0.863183760683761,0.866483516483517,0.869108669108669,0.871306471306471,0.872884615384616,0.875441595441595,0.875128205128205,0.879487179487179
Crop,0.716619047619048,0.736526455026455,0.747502976190476,0.754,0.757611252834467,0.760420351473923,0.762164186507937,0.764029100529101,0.764505952380952,0.765714285714286
DiatomSizeReduction,0.952287581699346,0.950108932461873,0.94983660130719,0.950513538748833,0.949540927482104,0.948443821973234,0.948393246187364,0.947857661583152,0.945751633986928,0.944444444444444
DistalPhalanxOutlineAgeGroup,0.71294964028777,0.713029576338929,0.718405275779377,0.717848578280233,0.718568002740665,0.717882836587873,0.717925659472422,0.715747402078337,0.713669064748201,0.712230215827338
DistalPhalanxOutlineCorrect,0.759057971014493,0.760708534621578,0.765670289855072,0.764216701173223,0.76626121463078,0.766494133885438,0.767149758454106,0.769645732689211,0.770289855072464,0.77536231884058
DistalPhalanxTW,0.676978417266187,0.685531574740208,0.689208633093525,0.690887290167866,0.689733927143999,0.690339157245632,0.689328537170264,0.686011191047162,0.683453237410072,0.683453237410072
ECG200,0.894,0.891555555555555,0.893583333333333,0.891333333333333,0.892857142857143,0.892095238095238,0.89275,0.891555555555556,0.894,0.89
ECG5000,0.940488888888889,0.941975308641975,0.942418518518518,0.942642328042328,0.942893298059965,0.942930158730159,0.943122222222222,0.943106172839506,0.943333333333333,0.943111111111111
ECGFiveDays,0.996631823461092,0.996593108788231,0.996438250096786,0.996266799402688,0.99611470604502,0.995912836679387,0.995770421989934,0.995663956639566,0.995586527293844,0.995354239256678
EOGHorizontalSignal,0.581491712707182,0.595395948434622,0.601381215469613,0.602394106813996,0.604906603525388,0.604959221257564,0.606123388581952,0.606629834254144,0.609668508287293,0.607734806629834
EOGVerticalSignal,0.39585635359116,0.413382443216698,0.419313996316759,0.422428308339911,0.424614136630711,0.425585372270455,0.426565377532228,0.425782688766114,0.424861878453039,0.422651933701657
Earthquakes,0.715107913669065,0.728057553956835,0.725179856115108,0.723878040424803,0.723192874272011,0.723775265501884,0.722182254196643,0.721502797761791,0.720863309352518,0.712230215827338
ElectricDevices,0.684139540915575,0.697540310379112,0.701812345999222,0.70511452408742,0.706071824830741,0.70734386868481,0.707543336359313,0.708459776077465,0.707897808325768,0.708987161198288
EthanolLevel,0.7444,0.764888888888889,0.7718,0.775028571428572,0.77684126984127,0.778180952380952,0.77865,0.780533333333333,0.7792,0.784
FaceAll,0.819704142011834,0.821998685075608,0.819462524654832,0.819568892645816,0.819287123133277,0.819588616511693,0.819763313609468,0.820302432610125,0.820650887573964,0.82189349112426
FaceFour,0.95,0.954040404040404,0.954356060606061,0.954545454545455,0.954545454545455,0.954545454545455,0.954545454545455,0.954545454545454,0.954545454545455,0.954545454545455
FacesUCR,0.954390243902439,0.959772357723577,0.961776422764228,0.962831591173054,0.963739837398374,0.964497096399536,0.965219512195122,0.965929539295393,0.966585365853658,0.966341463414634
FiftyWords,0.766153846153846,0.789108669108669,0.797857142857143,0.80276295133438,0.805468341182627,0.80661433804291,0.807527472527473,0.807326007326007,0.805934065934066,0.802197802197802
Fish,0.978285714285714,0.981333333333333,0.981523809523809,0.981931972789115,0.982267573696145,0.982530612244898,0.98252380952381,0.98247619047619,0.982285714285714,0.982857142857143
FordA,0.953030303030303,0.957373737373737,0.957556818181818,0.959069264069264,0.959102934102934,0.959992784992785,0.960164141414141,0.96037037037037,0.960606060606061,0.960606060606061
FordB,0.841975308641975,0.847379972565158,0.848713991769547,0.849094650205761,0.849955908289242,0.850217519106408,0.851471193415638,0.8519890260631,0.853703703703704,0.853086419753086
FreezerRegularTrain,0.998070175438597,0.998081871345029,0.998149122807018,0.998172096908939,0.998195488721804,0.998225563909775,0.998230994152047,0.998222222222222,0.998245614035088,0.998245614035088
